assembly_accession	organism_name	assembly_level	seq_rel_date	ftp_path
GCA_000443755.1	Mycobacterium tuberculosis PanR0309	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/755/GCA_000443755.1_fedora0309c_IS/
GCA_000443795.1	Mycobacterium tuberculosis PanR0313	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/795/GCA_000443795.1_fedora0313c_IS/
GCA_000443815.1	Mycobacterium tuberculosis PanR0308	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/815/GCA_000443815.1_fedora0308g_IS/
GCA_000443835.1	Mycobacterium tuberculosis PanR0307	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/835/GCA_000443835.1_fedora0307c_IS/
GCA_000443855.1	Mycobacterium tuberculosis PanR0306	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/855/GCA_000443855.1_fedora0306b_IS/
GCA_000443875.1	Mycobacterium tuberculosis PanR0304	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/875/GCA_000443875.1_fedora0304b_IS/
GCA_000443895.1	Mycobacterium tuberculosis PanR0301	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/895/GCA_000443895.1_fedora0301c_IS/
GCA_000443915.1	Mycobacterium tuberculosis PanR0305	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/915/GCA_000443915.1_fedora0305_IS/
GCA_000443935.1	Mycobacterium tuberculosis PanR0311	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/935/GCA_000443935.1_fedora0311b_IS/
GCA_000445245.1	Mycobacterium tuberculosis PanR0501	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/245/GCA_000445245.1_fedora0501_IS/
GCA_000445265.1	Mycobacterium tuberculosis PanR0503	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/265/GCA_000445265.1_fedora0503_IS/
GCA_000445285.1	Mycobacterium tuberculosis PanR0505	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/285/GCA_000445285.1_fedora0505_IS/
GCA_000445305.1	Mycobacterium tuberculosis PanR0601	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/305/GCA_000445305.1_fedora0601c_IS/
GCA_000445325.1	Mycobacterium tuberculosis PanR0602	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/325/GCA_000445325.1_fedora0602_IS/
GCA_000445345.1	Mycobacterium tuberculosis PanR0603	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/345/GCA_000445345.1_fedora0603_IS/
GCA_000445365.1	Mycobacterium tuberculosis PanR0604	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/365/GCA_000445365.1_fedora0604_IS/
GCA_000445515.1	Mycobacterium tuberculosis PanR0605	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/515/GCA_000445515.1_fedora0605_IS/
GCA_000445535.1	Mycobacterium tuberculosis PanR0606	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/535/GCA_000445535.1_fedora0606c_IS/
GCA_000445555.1	Mycobacterium tuberculosis PanR0607	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/555/GCA_000445555.1_fedora0607c_IS/
GCA_000445575.1	Mycobacterium tuberculosis PanR0609	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/575/GCA_000445575.1_fedora0609c_IS/
GCA_000445595.1	Mycobacterium tuberculosis PanR0610	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/595/GCA_000445595.1_fedora0610c_IS/
GCA_000445615.1	Mycobacterium tuberculosis PanR0611	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/615/GCA_000445615.1_fedora0611c_IS/
GCA_000445635.1	Mycobacterium tuberculosis PanR0702	Chromosome	2013-08-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/635/GCA_000445635.1_fedora0702f_IS/
