accession	domain	phylum	class	order	family	genus	species
GB_GCA_900320955.1	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanocatella	Methanocatella sp900320955
GB_GCA_963580235.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-Q1	MGIIb-Q1 sp963580235
GB_GCA_015523055.1	Archaea	Altiarchaeota	Altiarchaeia	IMC4	QMZM01	WALD01	WALD01 sp015523055
GB_GCA_944322255.1	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Methanoprimaticola	Methanoprimaticola sp944322255
GB_GCA_030611045.1	Archaea	Halobacteriota	Syntropharchaeia	Alkanophagales	Methanospirareceae	JACGMN01	JACGMN01 sp030611045
GB_GCA_041500405.1	Archaea	Micrarchaeota	Micrarchaeia	Anstonellales	J096	JAPLWW01	JAPLWW01 sp041500405
RS_GCF_001592435.1	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus peptonophilus
GB_GCA_025058055.1	Archaea	Thermoproteota	Nitrososphaeria_A	Caldarchaeales	Calditenuaceae	Calditenuis	Calditenuis sp025058055
GB_GCA_030153385.1	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	WYZ-LMO2	WYZ-LMO2 sp030153385
RS_GCF_003990725.2	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum sp003990725
GB_GCA_036012445.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopelagicus	Nitrosopelagicus sp030751155
RS_GCF_041859935.1	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	Methanospirillum sp028695895
RS_GCF_016217785.1	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp016217785
